127.0.0.1, 2017-02-23 17:19:16, GET, /, HTTP/1.1, 303, 0.013000
127.0.0.1, 2017-02-23 17:19:17, GET, /welcome/default/index, HTTP/1.1, 404, 0.059000
127.0.0.1, 2017-02-23 17:19:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-02-23 17:19:24, GET, /Web2pyAdmin/default/index, HTTP/1.1, 404, 0.012000
127.0.0.1, 2017-02-23 17:19:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-02-23 17:19:33, GET, /Web2pyAdmin/default/index, HTTP/1.1, 404, 0.002000
127.0.0.1, 2017-02-23 17:19:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-02-23 17:20:10, GET, /Web2pyAdmin/default/index, HTTP/1.1, 200, 1.393000
127.0.0.1, 2017-02-23 17:20:10, GET, /Web2pyAdmin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.199000
127.0.0.1, 2017-02-23 17:20:10, GET, /Web2pyAdmin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.196000
127.0.0.1, 2017-02-23 17:20:10, GET, /Web2pyAdmin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.199000
127.0.0.1, 2017-02-23 17:20:10, GET, /Web2pyAdmin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.199000
127.0.0.1, 2017-02-23 17:20:10, GET, /Web2pyAdmin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.201000
127.0.0.1, 2017-02-23 17:20:11, GET, /Web2pyAdmin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.253000
127.0.0.1, 2017-02-23 17:20:11, GET, /Web2pyAdmin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.045000
127.0.0.1, 2017-02-23 17:20:11, GET, /Web2pyAdmin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 20127.0.0.1, 2017-02-23 17:20:11, GET, /Web2pyAdmin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.224000
000
127.0.0.1, 2017-02-23 17:20:11, GET, /Web2pyAdmin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.221000
127.0.0.1, 2017-02-23 17:20:11, GET, /Web2pyAdmin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.178000
127.0.0.1, 2017-02-23 17:20:11, GET, /Web2pyAdmin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.047000
127.0.0.1, 2017-02-23 17:20:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-02-23 17:20:39, POST, /Web2pyAdmin/default/index, HTTP/1.1, 303, 0.345000
127.0.0.1, 2017-02-23 17:20:40, GET, /Web2pyAdmin/default/site, HTTP/1.1, 200, 0.237000
127.0.0.1, 2017-02-23 17:20:40, GET, /Web2pyAdmin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.022000
127.0.0.1, 2017-02-23 17:20:41, GET, /Web2pyAdmin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.458000
127.0.0.1, 2017-02-23 17:20:42, POST, /Web2pyAdmin/default/check_version, HTTP/1.1, 200, 1.563000
127.0.0.1, 2017-02-23 17:20:42, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
